HD1909,3819,1024,9122,7004,8901,9607,595.48,121.69,515.35,-4.115,2.9383,-0.853,-3.408
TWD97,3824,1026,9122,7019,8901,9603,0,0,0,,,,
IGRS,3889,1029,9122,7019,8901,9603,0,0,0,,,,
Hermannskogel,3906,1031,9122,7004,8901,9603,653,-212,449,,,,
MOLDREF99,4023,1032,9122,7019,8901,9603,0,0,0,,,,
RGRDC 2005,4046,1033,9122,7019,8901,9603,0,0,0,,,,
SREF98,4075,1034,9122,7019,8901,9603,0,0,0,,,,
REGCAN95,4081,1035,9122,7019,8901,9603,0,0,0,,,,
GGRS 87,4121,6121,9122,7019,8901,9603,-199.87,74.79,246.62,,,,
Finland Hayford,4123,6123,9122,7022,8901,9603,-78,-231,-97,,,,
RT 90,4124,6124,9122,7004,8901,9603,498,-36,568,,,,
Samboja,4125,6125,9108,7004,8901,9603,-404.78,685.68,45.47,,,,
Tete,4127,6127,9122,7008,8901,9603,-80,-100,-228,,,,
Observatario,4129,6129,9122,7008,8901,9603,-132,-110,-335,,,,
Moznet,4130,6130,9122,7030,8901,9607,0,0,0,0,0,0,0
Indian 1960,4131,6131,9122,7015,8901,9603,198,881,317,,,,
FD58,4132,6132,9122,7012,8901,9603,-241.54,-163.64,396.06,,,,
EST92,4133,6133,9122,7019,8901,9607,0.055,-0.541,-0.185,-0.0183,0.0003,0.007,-0.014
PSD93,4134,6134,9122,7012,8901,9606,-180.624,-225.516,173.919,-0.81,-1.898,8.336,16.71006
Old Hawaiian,4135,6135,9122,7008,8901,9603,61,-285,-181,,,,
Puerto Rico,4139,6139,9122,7008,8901,9603,11,72,-101,,,,
NAD83(CSRS98),4140,6140,9108,7019,8901,9603,0,0,0,,,,
Israel 1993,4141,6141,9122,7019,8901,9603,-48,55,52,,,,
Locodjo 1965,4142,6142,9122,7012,8901,9603,-125,53,467,,,,
Abidjan 1987,4143,6143,9122,7012,8901,9603,-124.76,53,466.79,,,,
Kalianpur 1937,4144,6144,9122,7015,8901,9603,214,804,268,,,,
Kalianpur 1962,4145,6145,9122,7044,8901,9603,283,682,231,,,,
Kalianpur 1975,4146,6146,9122,7045,8901,9603,295,736,257,,,,
Hanoi 1972,4147,6147,9122,7024,8901,9603,-17.51,-108.32,-62.39,,,,
Hartebeeshoek94,4148,6148,9122,7030,8901,9603,0,0,0,,,,
CH-1903,4149,6149,9122,7004,8901,9603,674.374,15.056,405.343,,,,
CH1903+,4150,6150,9122,7004,8901,9603,674.374,15.056,405.346,,,,
CHTRF95,4151,6151,9122,7019,8901,9603,0,0,0,,,,
NAD83(HARN),4152,6152,9122,7019,8901,9603,0,0,0,,,,
Rassadiran,4153,6153,9122,7022,8901,9603,-133.63,-157.5,-158.62,,,,
ED50(ED77),4154,6154,9122,7022,8901,9603,-117,-132,-164,,,,
Dabola 1981,4155,6155,9122,7011,8901,9603,-83,37,124,,,,
S-JTSK,4156,6156,9122,7004,8901,9603,589,76,480,,,,
Naparima 1955,4158,6158,9122,7022,8901,9603,-0.465,372.095,171.736,,,,
ELD79,4159,6159,9122,7022,8901,9603,-115.8543,-99.0583,-152.4616,,,,
Pampa del Castillo,4161,6161,9122,7022,8901,9603,27.5,14,186.4,,,,
Yemen NGN96,4163,6163,9122,7030,8901,9603,0,0,0,,,,
South Yemen,4164,6164,9122,7024,8901,9603,-76,-138,67,,,,
Bissau,4165,6165,9122,7022,8901,9603,-173,253,27,,,,
Korean 1995,4166,6166,9122,7030,8901,9603,0,0,0,,,,
NZGD2000,4167,6167,9122,7030,8901,9603,0,0,0,,,,
Accra,4168,6168,9122,7029,8901,9603,-199,32,322,,,,
American Samoa 1962,4169,6169,9122,7008,8901,9603,-115,118,426,,,,
SIRGAS 1995,4170,6170,9122,7019,8901,9603,0,0,0,,,,
RGF93,4171,6171,9122,7019,8901,9603,0,0,0,,,,
POSGAR,4172,6172,9108,7019,8901,9603,0,0,0,,,,
IRENET95,4173,6173,9122,7019,8901,9603,0,0,0,,,,
Sierra Leone 1968,4175,6175,9122,7012,8901,9603,-88,4,101,,,,
Australian Antarctic,4176,6176,9122,7019,8901,9603,0,0,0,,,,
S42 (83),4178,6178,9122,7024,8901,9603,26,-121,-78,,,,
S42,4179,6179,9122,7024,8901,9603,28,-121,-77,,,,
EST97,4180,6180,9122,7019,8901,9603,0,0,0,,,,
Luxembourg 1930,4181,6181,9122,7022,8901,9607,-189.6806,18.3463,-42.7695,0.33746,3.09264,-2.53861,0.4598
Observatorio 1966,4182,6182,9122,7022,8901,9603,-425,-169,81,,,,
Southwest Base,4183,6183,9122,7022,8901,9603,-104,167,-38,,,,
Sao Braz,4184,6184,9122,7022,8901,9603,-203,141,53,,,,
OSNI 1952,4188,6188,9122,7001,8901,9606,482.5,-130.6,564.6,-1.042,-0.214,-0.631,8.15
REGVEN,4189,6189,9122,7019,8901,9603,0,0,0,,,,
POSGAR 98,4190,6190,9122,7019,8901,9603,0,0,0,,,,
Albanian 1987,4191,6191,9122,7024,8901,9607,-44.183,-0.58,-38.489,-2.3867,-2.7072,3.5196,-8.2703
Douala 1948,4192,6192,9122,7022,8901,9603,-206.1,-174.7,-87.7,,,,
Manoca 1962,4193,6193,9122,7011,8901,9603,-70.9,-151.8,-41.4,,,,
Qornoq 1927,4194,6194,9122,7022,8901,9603,164,138,-189,,,,
Scoresbysund 1952,4195,6195,9122,7022,8901,9606,105,326,-102.5,0,0,0.814,-0.6
Ammassalik 1958,4196,6196,9122,7022,8901,9606,-45,417,-3.5,0,0,0.814,-0.6
Egypt,4199,6199,9122,7022,8901,9603,-130,-117,-151,,,,
Pulkovo 1995,4200,6200,9122,7024,8901,9607,24.47,-130.89,-81.56,0,0,-0.13,-0.22
Adindan,4201,6201,9122,7012,8901,9603,-162,-12,206,,,,
Australian Geodetic 1966,4202,6202,9122,7003,8901,9603,-133,-48,148,,,,
Australian Geodetic 1984,4203,6203,9122,7003,8901,9603,-134,-48,149,,,,
Ain el Abd 1970,4204,6204,9122,7022,8901,9603,-150,-251,-2,,,,
Afgooye,4205,6205,9122,7024,8901,9603,-43,-163,45,,,,
Lisbon,4207,6207,9122,7022,8901,9603,-304.046,-60.576,103.64,,,,
Aratu,4208,6208,9122,7022,8901,9603,-151.99,287.04,-147.45,,,,
Arc 1950,4209,6209,9122,7012,8901,9603,-143,-90,-294,,,,
Arc 1960,4210,6210,9122,7012,8901,9603,-160,-8,-300,,,,
Djakarta (Batavia),4211,6211,9122,7004,8901,9603,-377,681,-50,,,,
Barbados 1938,4212,6212,9122,7012,8901,9603,31.95,300.99,419.19,,,,
Beduaram,4213,6213,9122,7011,8901,9603,-106,-87,188,,,,
Beijing 1954,4214,6214,9122,7024,8901,9603,15.8,-154.4,-82.3,,,,
Bermuda 1957,4216,6216,9122,7008,8901,9603,-73,213,296,,,,
Bogota Observatory,4218,6218,9122,7022,8901,9603,307,304,-318,,,,
Bukit Rimpah,4219,6219,9122,7004,8901,9603,-384,664,-48,,,,
Camacupa,4220,6220,9122,7012,8901,9603,-50.9,-347.6,-231,,,,
Campo Inchauspe,4221,6221,9122,7022,8901,9603,-148,136,90,,,,
Cape,4222,6222,9122,7012,8901,9603,-136,-108,-292,,,,
Carthage,4223,6223,9122,7012,8901,9603,-263,6,431,,,,
Chua Astro,4224,6224,9122,7022,8901,9603,-134,229,-29,,,,
Corrego Alegre,4225,6225,9122,7022,8901,9603,-206,172,-6,,,,
Deir ez Zor,4227,6227,9122,7011,8901,9603,-190.421,8.532,238.69,,,,
Old Egyptian,4229,6229,9122,7020,8901,9603,-130,110,-13,,,,
European 1950,4230,6230,9122,7022,8901,9603,-87,-98,-121,,,,
ED87,4231,6231,9122,7022,8901,9606,-83.11,-97.38,-117.22,0.005693,-0.044698,0.044285,0.1218
Oman,4232,6232,9122,7012,8901,9603,-346,-1,224,,,,
Gandajika Base,4233,6233,9122,7022,8901,9603,-133,-321,50,,,,
Hu-Tzu-Shan,4236,6236,9122,7022,8901,9603,-634,-549,-201,,,,
HD72,4237,6237,9122,7036,8901,9603,52.17,-71.82,-14.9,,,,
ID74,4238,6238,9122,7021,8901,9603,-24,-15,5,,,,
Indian 1954,4239,6239,9122,7015,8901,9603,217,823,299,,,,
Indian Thailand,4240,6240,9122,7015,8901,9603,214,836,303,,,,
JAD69,4242,6242,9122,7008,8901,9603,70,207,389.5,,,,
Kandawala,4244,6244,9122,7015,8901,9603,-97,787,86,,,,
Kertau 1948,4245,6245,9122,7018,8901,9603,-11,851,5,,,,
KOC,4246,6246,9122,7012,8901,9603,-294.7,-200.1,525.5,,,,
La Canoa,4247,6247,9122,7022,8901,9603,-273.5,110.6,-357.9,,,,
Prov So Amrican 1956,4248,6248,9122,7022,8901,9603,-288,175,-376,,,,
Leigon,4250,6250,9122,7012,8901,9603,-130,29,364,,,,
Liberia 1964,4251,6251,9122,7012,8901,9603,-90,40,88,,,,
Luzon Philippines,4253,6253,9122,7008,8901,9603,-133,-77,-51,,,,
Prov So Chilean 1963,4254,6254,9122,7022,8901,9603,16,196,93,,,,
Herat North,4255,6255,9122,7022,8901,9603,-333,-222,114,,,,
Mahe 1971,4256,6256,9122,7012,8901,9603,41,-220,-134,,,,
Makassar,4257,6257,9122,7004,8901,9603,-587.8,519.75,145.76,,,,
ETRS 89,4258,6258,9122,7019,8901,9603,0,0,0,,,,
Malongo 1987,4259,6259,9122,7022,8901,9603,-254.1,-5.36,-100.29,,,,
Manoca,4260,6260,9108,7012,8901,9603,-70.9,-151.8,-41.4,,,,
Merchich,4261,6261,9122,7012,8901,9603,31,146,47,,,,
Massawa,4262,6262,9122,7004,8901,9603,639,405,60,,,,
Minna,4263,6263,9122,7012,8901,9603,-92,-93,122,,,,
Mhast,4264,6264,9122,7022,8901,9603,-252.95,-4.11,-96.38,,,,
Monte Mario,4265,6265,9122,7022,8901,9606,-104.1,-49.1,-9.9,0.971,-2.917,0.714,-11.68
M'poraloko,4266,6266,9122,7011,8901,9603,-74,-130,42,,,,
NAD27 CONUS,4267,6267,9122,7008,8901,9603,-8,160,176,,,,
NAD83,4269,6269,9122,7019,8901,9603,0,0,0,,,,
Nahrwn United Arab,4270,6270,9122,7012,8901,9603,-249,-156,381,,,,
Naparima BWI,4271,6271,9122,7022,8901,9603,-2,374,172,,,,
Geodetic Datum 1949,4272,6272,9122,7022,8901,9603,84,-22,209,,,,
NZGD1949,4272,6272,9122,7022,8901,9603,84,-22,209,,,,
NGO1948,4273,6273,9122,7005,8901,9603,315,-217,528,,,,
Datum 73,4274,6274,9122,7022,8901,9603,-223.237,110.193,36.649,,,,
NTF France,4275,6275,9122,7011,8901,9603,-168,-60,320,,,,
Ord Srvy Grt Britn,4277,6277,9122,7001,8901,9603,375,-111,431,,,,
Israeli,4281,6281,9122,7010,8901,9603,-235,-85,264,,,,
Pointe Noire,4282,6282,9122,7011,8901,9603,-148,51,-291,,,,
Australian Geocentric 1994 (GDA94),4283,6283,9122,7019,8901,9603,0,0,0,,,,
Pulkovo 1942 (1),4284,6284,9122,7024,8901,9603,28,-130,-95,,,,
Qatar National,4285,6285,9122,7022,8901,9603,-128,-283,22,,,,
Qornoq,4287,6287,9108,7022,8901,9603,164,138,-189,,,,
Rijksdriehoeksmeting,4289,6289,9122,7004,8901,9603,593,26,478,,,,
South American 1969,4291,6291,9108,7036,8901,9603,-57,1,-41,,,,
Sapper Hill 1943,4292,6292,9122,7022,8901,9603,-355,16,74,,,,
Schwarzeck,4293,6293,9122,7046,8901,9603,616,97,-251,,,,
Segora,4294,6294,9108,7004,8901,9603,-403,684,41,,,,
Tananarive,4297,6297,9122,7022,8901,9603,-189,-242,-91,,,,
Timbalai 1948,4298,6298,9122,7015,8901,9603,-689,691,-46,,,,
Ireland 1965,4299,6299,9122,7002,8901,9603,506,-122,611,,,,
TM75,4300,6300,9122,7002,8901,9606,482.5,-130.6,564.6,-1.042,-0.214,-0.631,8.15
Tokyo,4301,6301,9122,7004,8901,9603,-128,481,664,,,,
Trinidad 1903,4302,6302,9122,7007,8901,9603,-61.702,284.488,472.052,,,,
Voirol 1875,4304,6304,9122,7011,8901,9603,-73,-247,227,,,,
Nord Sahara 1959,4307,6307,9122,7012,8901,9606,-209.3622,-87.8162,404.6198,0.0046,3.4784,0.5805,-1.4547
Yacare,4309,6309,9122,7022,8901,9603,-155,171,37,,,,
Yoff,4310,6310,9122,7011,8901,9603,-30,190,89,,,,
Zanderij,4311,6311,9122,7022,8901,9603,-265,120,-358,,,,
Austrian,4312,6312,9122,7004,8901,9603,594,84,471,,,,
Belge 1972,4313,6313,9122,7022,8901,9607,-106.8686,52.2978,-103.7239,-0.3366,0.457,-1.8422,-1.2747
Potsdam Rauenberg DHDN,4314,6314,9122,7004,8901,9603,606,23,413,,,,
Conakry 1905,4315,6315,9122,7011,8901,9603,-23,259,-9,,,,
Dealul Piscului 1930,4316,6316,9122,7022,8901,9603,103.25,-100.4,-307.19,,,,
Dealul Piscului 1970,4317,6317,9122,7024,8901,9603,28,-121,-77,,,,
NGN,4318,6318,9122,7030,8901,9603,-3.2,-5.7,2.8,,,,
KUDAMS,4319,6319,9122,7019,8901,9603,-20.8,11.3,2.4,,,,
WGS 72,4322,6322,9122,7043,8901,9603,0,0,5,,,,
WGS 72BE,4324,6324,9122,7043,8901,9606,0,0,1.9,0,0,0.814,-0.38
RGSPM06,4463,1038,9122,7019,8901,9603,0,0,0,,,,
RGM04,4470,1036,9122,7019,8901,9603,0,0,0,,,,
Cadastre 1997,4475,1037,9122,7022,8901,9603,-381.788,-57.501,-256.673,,,,
Mexico ITRF92,4483,1042,9122,7019,8901,9603,0,0,0,,,,
RRAF 1991,4558,1047,9122,7019,8901,9603,0,0,0,,,,
Antigua 1943,4601,6601,9122,7012,8901,9603,-255,-15,71,,,,
Dominica 1945,4602,6602,9122,7012,8901,9603,725,685,536,,,,
Grenada 1953,4603,6603,9122,7012,8901,9603,72,213.7,93,,,,
Montserrat 1958,4604,6604,9122,7012,8901,9603,174,359,365,,,,
St. Kitts 1955,4605,6605,9122,7012,8901,9603,9,183,236,,,,
St. Lucia 1955,4606,6606,9122,7012,8901,9603,-149,128,296,,,,
St. Vincent 1945,4607,6607,9122,7012,8901,9603,195.671,332.517,274.607,,,,
Hong Kong 1980,4611,6611,9122,7022,8901,9606,-162.619,-276.959,-161.764,0.067753,-2.243649,-1.158827,-1.094246
JGD2000,4612,6612,9122,7019,8901,9603,0,0,0,,,,
Segara,4613,6613,9122,7004,8901,9603,-403,684,41,,,,
QND95,4614,6614,9122,7022,8901,9606,-119.4248,-303.65872,-11.00061,1.164298,0.174458,1.096259,3.657065
Southeast Base,4615,6615,9122,7022,8901,9603,-499,-249,314,,,,
Marco Astro,4616,6616,9122,7022,8901,9603,-289,-124,60,,,,
NAD83(CSRS),4617,6140,9122,7019,8901,9603,0,0,0,,,,
SAD69,4618,6618,9122,7050,8901,9603,-66.87,4.37,-38.52,,,,
